Ratings,No_of_ratings,Operating_system,Screen_size(inches),Display_type,Touchscreen,Processor_speed(GHz),Cache_memory(MBs),RAM(Gig),RAM_max,Memory_slots,RAM_speed(MHz),Harddrive_type,Harddrive_capacity(Gig),Weight(kg),Warranty,Optical_Drive,Adapter(watts),Battery_cells,Battery_type,Battery_life(Hrs),Fingerprint,Screen_pixel_density(width),Screen_pixel_density(height),Processor_brand,Processor_cores,Graphics_brand,Length(mm),Width(mm),Height(mm),USB(2.0),USB(2.0)_ports,Bluetooth_,Bluetooth_version,USB(typeC),USB(typeC)_ports,Keyboard_backlit,Brand
,,Windows,15.6, LED , No ,2.1,4.0,8.0,12.0,1.0,2666.0,HDD,1000.0,1.7,1.0,No,45.0,,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,362.2,253.4,19.9,Yes,2.0,Yes,5.0,nan,,yes,Lenovo
,,Windows,14.0, LED , No ,1.2,4.0,8.0,,2.0,2666.0,SSD,256.0,1.6,1.0,No,65.0,2.0,Li-Ion,7.0,No,1920,1080,Intel,4.0,Intel Graphics,,,,Yes,1.0,Yes,5.0,nan,,,Lenovo
,, Google Chrome ,13.3, QLED , Yes ,1.9,2.0,4.0,,1.0,,nan,64.0,1.23,,No,45.0,,Li-Po,14.0,No,1920,1080,Intel,2.0,Intel Graphics,,,,nan,,Yes,5.0,Yes,2.0,,Samsung
4.3,153.0,Windows,13.3, LED , Yes ,2.0,12.0,16.0,,1.0,,nan,512.0,1.32,1.0,No,45.0,4.0,Li-Ion,,nan,1920,1080,AMD,8.0,AMD Graphics,308.1,206.5,18.3,Yes,2.0,Yes,5.0,Yes,1.0,yes,Lenovo
4.3,2.0,Windows,14.1, LED , No ,2.1,4.0,4.0,,1.0,2400.0,HDD,1000.0,1.6,1.0,No,45.0,,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,325.0,216.0,23.1,Yes,2.0,Yes,4.1,Yes,1.0,,Asus
3.5,3.0,Windows,15.6, LED , No ,2.3,16.0,8.0,32.0,1.0,,nan,1000.0,1.9,1.0,No,76.0,4.0,Li-Ion,,No,1920,1080,Intel,8.0,NVIDIA,360.0,252.0,18.9,nan,,Yes,5.1,Yes,1.0,yes,Asus
4.3,295.0,Windows,15.6, LED , No ,2.4,8.0,8.0,,1.0,3200.0,HDD,1000.0,1.8,1.0,nan,,3.0,Li-Po,,nan,1920,1080,Intel,6.0,Intel Graphics,356.0,233.0,18.0,nan,,Yes,5.0,Yes,1.0,,Lenovo
,,Windows,14.0, LED , No ,2.4,8.0,8.0,,1.0,,nan,512.0,1.14,1.0,nan,43.0,3.0,Li-Ion,,No,1920,1080,Intel,6.0,Intel Graphics,325.0,216.0,17.0,Yes,2.0,Yes,5.0,nan,,yes,HP
4.5,4.0,Windows,15.6, LED , No ,1.0,6.0,2.0,8.0,1.0,2666.0,HDD,1000.0,1.85,1.0,No,41.0,3.0,Li-Ion,,No,1920,1080,Intel,2.0,NVIDIA,361.6,245.6,17.9,nan,,Yes,5.0,Yes,1.0,,HP
4.8,8.0,Windows,15.6, LED , No ,2.5,8.0,4.0,8.0,1.0,2933.0,HDD,1000.0,2.3,1.0,No,60.0,,Li-Po,,No,1920,1080,Intel,6.0,NVIDIA,363.06,259.61,23.5,nan,,Yes,5.0,Yes,2.0,,Lenovo
4.1,11.0,Windows,15.6, LED , No ,1.6,6.0,8.0,12.0,1.0,2133.0,nan,512.0,1.6,1.0,No,32.0,2.0,Li-Po,,Yes,1920,1080,Intel,6.0,NVIDIA,360.2,234.9,22.9,Yes,2.0,Yes,4.2,Yes,1.0,,Asus
4.4,18.0,Windows,13.3, LED , Yes ,2.0,8.0,16.0,,1.0,3200.0,nan,512.0,1.32,1.0,No,65.0,3.0,Li-Ion,,nan,1920,1080,AMD,8.0,AMD Graphics,306.5,194.6,16.4,Yes,1.0,Yes,5.0,Yes,1.0,yes,HP
4.5,17.0,Windows,14.0, LED , No ,1.8,8.0,16.0,,1.0,2400.0,nan,512.0,1.17,1.0,No,50.0,3.0,Li-Po,13.0,nan,1920,1080,Intel,6.0,Intel Graphics,322.58,198.12,15.2,Yes,1.0,Yes,5.0,Yes,1.0,yes,Asus
3.9,10.0,Windows,13.3, LED , Yes ,4.2,8.0,8.0,,1.0,3200.0,nan,512.0,1.27,1.0,No,65.0,4.0,Li-Po,,Yes,1920,1080,Intel,6.0,Intel Graphics,306.7,194.5,16.9,nan,,Yes,5.0,Yes,2.0,,HP
4.4,1666.0,Windows,15.6, LED , No ,2.4,8.0,8.0,32.0,1.0,2666.0,HDD,1000.0,2.4,1.0,No,150.0,3.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,360.0,275.0,25.8,nan,,Yes,5.0,Yes,1.0,yes,Asus
,,Windows,15.6, LED , No ,2.1,2.0,4.0,32.0,1.0,2666.0,HDD,1000.0,2.2,1.0,No,48.0,3.0,Li-Po,,No,1920,1080,AMD,4.0,NVIDIA,360.4,262.0,25.8,Yes,1.0,Yes,5.0,nan,,yes,Asus
,,Windows,17.3, LED , No ,2.9,12.0,8.0,32.0,2.0,2666.0,HDD,1000.0,4.42,1.0,No,99.0,6.0,Li-Ion,,No,2560,1440,Intel,6.0,NVIDIA,424.0,332.0,29.9,Yes,2.0,Yes,5.0,Yes,1.0,,Dell
,1.0,Windows,14.0, LED , No ,2.1,4.0,4.0,,1.0,,HDD,1000.0,1.68,1.0,Yes,65.0,4.0,Li-Ion,,No,1366,768,Intel,4.0,Intel Graphics,340.0,250.0,23.2,Yes,4.0,Yes,4.1,No,,,Asus
,,Windows,15.0, LED , No ,1.6,6.0,2.0,8.0,1.0,2400.0,HDD,1000.0,1.7,1.0,No,42.0,3.0,Li-Ion,,Yes,1920,1080,Intel,6.0,NVIDIA,361.4,243.0,18.0,Yes,2.0,Yes,4.2,Yes,1.0,yes,Asus
,,Windows,13.3, LED , No ,4.2,,2.0,16.0,1.0,2933.0,SSD,512.0,1.3,1.0,No,51.0,3.0,Li-Ion,,Yes,1920,1080,Intel,6.0,NVIDIA,306.0,194.0,16.9,nan,,Yes,5.0,Yes,2.0,yes,HP
